operation,strategy,blockSize,fileSizeInBytes,durationInMs
WRITE,BlockByBlockWithBufferedStream,500,10485760,60
WRITE,BlockByBlockWithBufferedStream,50,10485760,94
WRITE,BlockByBlockWithBufferedStream,5,10485760,123
WRITE,ByteByByteWithBufferedStream,0,10485760,382
WRITE,BlockByBlockWithoutBufferedStream,500,10485760,87
WRITE,BlockByBlockWithoutBufferedStream,50,10485760,497
WRITE,BlockByBlockWithoutBufferedStream,5,10485760,4464
WRITE,ByteByByteWithoutBufferedStream,0,10485760,20449
READ,BlockByBlockWithBufferedStream,500,10485760,17
READ,BlockByBlockWithBufferedStream,50,10485760,25
READ,BlockByBlockWithBufferedStream,5,10485760,55
READ,ByteByByteWithBufferedStream,0,10485760,86
READ,BlockByBlockWithoutBufferedStream,500,10485760,46
READ,BlockByBlockWithoutBufferedStream,50,10485760,367
READ,BlockByBlockWithoutBufferedStream,5,10485760,3495
READ,ByteByByteWithoutBufferedStream,0,10485760,15436
